,Company,Position,Connected On,Full Name,Latitude,Longitude
0,Stefanini Brasil,Analista Programador Senior,18 Jan 2021,Jose Brown,37.541988,-77.4405724
1,Akaer,Analista de Dados,18 Jan 2021,Jessica Smith,-23.1606616,-45.7875747
2,Cloud Devs,Consultant,18 Jan 2021,Monica Summers,35.8970799,-78.8705963
3,Unimed Sul Capixaba,Analista de BI Jr - Analista de Sistemas - Business Intelligence - DBA,16 Jan 2021,Christopher Edwards,-20.8529059,-41.1159018
4,Gerencianet,Data Analyst,15 Jan 2021,Lisa Thomas,-23.5634382,-46.6547934
5,CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Bolsista,15 Jan 2021,Randall Richardson,-15.7880201,-47.8782054
6,Via Reversa,Desenvolvedor FrontEnd Vue / Python Jr.,14 Jan 2021,Megan Becker,45.4587317,-73.8352551
7,Distrilaf,Analista de Sistemas,14 Jan 2021,Allison Parsons,-20.681172,-43.772068
8,Invillia,Backend Developer,13 Jan 2021,Christopher Zimmerman,-21.8049737,-48.1736809
9,Avenue Code,Frontend Developer,13 Jan 2021,Caitlin Smith,37.7869368,-122.4055448
10,Crefisa,Analista de sistema,12 Jan 2021,Breanna Holland,-11.1836549,-40.5107791
11,Hybrid Formula-E Team ,Membro do núcleo de estudos HYBRID FORM-E TEAM,12 Jan 2021,Natalie Horton,40.6800928,-74.01229359999999
12,prestd,Software Developer Internship,12 Jan 2021,Laura Higgins,,
13,BioCatch,"Director, Pre-sales & PS for LATAM ",12 Jan 2021,Ashley Miller,40.7613801,-73.9693636
14,Bradesco,Analista de Políticas de Crédito Jr,11 Jan 2021,Michael Fowler,40.7614676,-73.9712067
15,Prefeitura Municipal de Nova Trento,Professor - Desenvolvedor de Projetos Sociais - Indicador Google - ,11 Jan 2021,Ethan Pugh,-27.286595,-48.93031939999999
16,"URJA Social - Tecnologia, Gestão e Operação Ltda", Commercial Director,11 Jan 2021,John Duncan,-8.061048699999999,-34.8721372
17,Paulo,Analista de suporte de TI,11 Jan 2021,Veronica Munoz,42.1460155,-72.6050451
18,PepsiCo,Sales Intern,11 Jan 2021,Shannon Jennings,33.0831337,-96.81619859999999
19,Zup Innovation,Desenvolvedora Back-end Java,11 Jan 2021,Benjamin Knight,-19.9290936,-43.9318449
20,CrediSIS,"Software Development, Systems Analysis and User Support Team Leader",11 Jan 2021,Sara Ward,-10.8760014,-61.954633
21,Zup Innovation,Tech Lead,11 Jan 2021,Brenda Cabrera,-19.9290936,-43.9318449
22,TQI,Desenvolvedor para iOS,11 Jan 2021,Robert Payne,26.1807605,-80.21544229999999
23,KaBuM!,Analista de sistemas,11 Jan 2021,Chelsey Perry,19.462832,-99.2393578
24,Mercantil do Brasil,Escriturário,09 Jan 2021,Linda Gonzalez,25.6838185,-100.3149288
25, EXPN Consultoria em desenvolvimento de software,Estagiário,08 Jan 2021,Ronald Ford,-23.4175866,-51.9392553
26,Universidade Federal de Santa Catarina,Researcher,08 Jan 2021,Kyle Jones,-27.5999666,-48.5194152
27,everis,QA Acessibilidade,08 Jan 2021,Cathy Boyd,42.3559753,-71.0521512
28,Drogaria Araujo S/A,Continuous Improvement Analyst,07 Jan 2021,Destiny West,-19.9148705,-43.9512978
29,Teltec Solutions,Development and Research Analyst,07 Jan 2021,Cody Meyer,-27.6087811,-48.5780882
30,Elumini Outdoing IT,Analista de sistemas sênior,07 Jan 2021,Eric Buck,-23.545294,-46.634542
31,Infofast Cursos Profissionalizantes,Instrutor de Microsoft Excel Avançado e Microsoft Power BI,07 Jan 2021,Paul Reyes,-6.069979600000001,-49.9041742
